tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Alkalibacter;Alkalibacter saccharofermentans	2	0	0	1	0	0	2	0	2	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Alkalibaculum;Alkalibaculum sporogenes	1	3	2	6	2	2	5	3	4	4	5
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Anaerofustis;Anaerofustis stercorihominis	0	0	2	2	0	0	1	0	1	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens	0	1	1	1	0	0	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium coprostanoligenes	4	1	10	7	4	7	3	0	0	1	5
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium limosum	16	6	18	24	13	11	0	13	10	3	19
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium maltosivorans	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium multiforme	0	0	0	2	1	1	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium oxidoreducens	1	0	1	0	4	0	1	3	3	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium pyruvativorans	4	8	8	7	3	1	5	1	1	3	7
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ramulus	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ruminantium	2	0	1	1	0	0	1	0	1	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum	1	2	0	1	3	1	0	1	1	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Garciella;Garciella nitratireducens	1	0	0	1	1	0	0	0	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Irregularibacter;Irregularibacter muris	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter;Pseudoramibacter alactolyticus	2	4	1	6	6	0	5	0	1	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter;Pseudoramibacter porci	0	0	0	1	0	3	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Rhabdanaerobium;Rhabdanaerobium thermarum	0	1	1	0	1	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Fusibacter;Fusibacter bizertensis	0	0	0	0	4	0	1	4	2	4	4
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Fusibacter;Fusibacter ferrireducens	0	1	0	0	0	0	1	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Fusibacter;Fusibacter fontis	3	0	1	0	0	0	12	15	41	22	25
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Fusibacter;Fusibacter paucivorans	1	0	1	0	1	0	1	0	4	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Fusibacter;Fusibacter tunisiensis	0	0	0	0	0	0	1	1	4	3	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Guggenheimella;Guggenheimella bovis	0	1	1	2	1	1	0	4	2	2	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Baileyella;Baileyella intestinalis	0	0	0	0	0	2	4	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Casaltella;Casaltella massiliensis	0	0	0	0	0	1	1	2	2	8	8
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Congobacterium;Congobacterium massiliense	0	0	0	4	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] brachy	1	2	2	2	1	2	2	2	1	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] infirmum	0	0	0	1	6	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] minutum	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] nodatum	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis;[Eubacterium] saphenum	6	19	7	15	7	0	4	2	8	3	9
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Hornefia;Hornefia porci	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Ihubacter;Ihubacter massiliensis	1	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Lentihominibacter;Lentihominibacter faecis	0	0	0	0	0	42	3	11	14	5	5
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Lentihominibacter;Lentihominibacter hominis	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Sinanaerobacter;Sinanaerobacter chloroacetimidivorans	1	0	0	0	0	1	9	20	23	28	29
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Anaerotalea;Anaerotalea alkaliphila	0	1	0	2	2	0	0	1	2	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Colidextribacter;Colidextribacter massiliensis	0	0	0	0	1	0	1	1	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis;[Bacteroides] pectinophilus	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Evtepia;Evtepia gabavorous	0	0	1	1	1	0	1	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Fenollaria;Fenollaria massiliensis	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Howardella;Howardella ureilytica	0	1	0	1	1	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas butyriciproducens	0	3	0	3	0	0	0	4	1	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	0	4	6	4	9	3	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas massiliensis (ex Afouda et al. 2020)	0	3	1	6	1	1	1	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas timonensis	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Feifaniaceae;Feifania;Feifania hominis	0	2	0	1	2	1	3	0	1	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Gracilibacteraceae;Gracilibacter;Gracilibacter thermotolerans	44	51	31	75	35	6	12	4	8	5	49
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliobacterium;Heliobacterium sulfidophilum	1	0	1	0	0	0	0	0	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliomicrobium;Heliomicrobium modesticaldum	17	10	14	22	19	25	11	12	9	10	27
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliomicrobium;Heliomicrobium undosum	4	1	5	4	3	0	4	1	1	1	5
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliophilum;Heliophilum fasciatum	5	1	3	2	6	7	3	7	9	8	13
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliorestis;Heliorestis acidaminivorans	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Heliobacteriaceae;Heliorestis;Heliorestis baculata	1	0	0	0	1	0	4	1	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium;Acetanaerobacterium elongatum	1	8	6	5	8	1	1	0	0	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio aldrichii	4	5	5	0	0	0	4	4	2	9	13
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio alkalicellulosi	0	2	0	0	0	0	0	4	1	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio cellulolyticus	0	3	0	0	0	0	0	1	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio clariflavus	5	5	1	16	7	0	5	5	2	3	8
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio mesophilus	2	0	0	6	0	0	0	0	0	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio saccincola	11	8	8	4	12	0	8	5	19	13	24
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio straminisolvens	3	0	0	0	0	0	2	0	0	0	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio thermocellus	4	5	2	14	18	0	1	0	9	9	13
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaerobacterium;Anaerobacterium chartisolvens	13	15	7	28	18	8	39	38	33	28	41
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaerofilum;Anaerofilum pentosovorans	0	0	0	0	0	0	0	0	1	2	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Angelakisella;Angelakisella massiliensis	1	5	0	6	0	0	0	0	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Bittarella (ex Durand et al. 2017);Bittarella massiliensis (ex Durand et al. 2017)	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacterium;Caproicibacterium amylolyticum	1	0	3	0	0	1	0	0	1	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacterium;Caproicibacterium lactatifermentans	0	1	0	0	1	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Congzhengia;Congzhengia minquanensis	0	1	2	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter;Dysosmobacter acutus	0	6	6	0	0	2	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella;Ercella succinigenes	13	4	6	17	7	0	6	13	19	39	52
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ethanoligenens;Ethanoligenens harbinense	5	2	1	10	2	3	1	1	1	1	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium butyricigenerans	0	0	0	0	0	0	0	0	0	2	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium duncaniae	0	0	0	0	0	22	0	0	0	2	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium hattorii	6	0	0	5	0	0	0	0	0	0	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium longum	0	0	0	0	2	1	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii	0	0	0	0	2	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalispora;Faecalispora sporosphaeroides	2	0	0	4	2	0	0	0	0	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fastidiosipila;Fastidiosipila sanguinis	7	1	6	10	2	1	0	2	1	1	8
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	2	2	0	4	0	4	1	6	3	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fournierella;Fournierella massiliensis	0	7	0	5	0	0	1	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fumia;Fumia xinanensis	0	1	0	0	0	0	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gorbachella;Gorbachella massiliensis	0	0	0	0	0	1	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Hydrogenoanaerobacterium;Hydrogenoanaerobacterium saccharovorans	8	2	3	9	11	1	6	1	7	10	18
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ligaoa;Ligaoa zhengdingensis	3	1	0	4	3	1	1	1	0	1	4
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Mageeibacillus;Mageeibacillus indolicus	1	3	1	0	4	0	2	1	3	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Marseillibacter;Marseillibacter massiliensis	0	2	0	0	0	0	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Merdimmobilis;Merdimmobilis hominis	0	0	0	0	0	0	0	0	1	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Neglectibacter;Neglectibacter timonensis	0	0	0	0	0	2	0	3	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;Oscillibacter ruminantium	0	0	0	0	4	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;Oscillibacter valericigenes	8	0	0	25	13	0	2	0	2	0	8
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] cellulosi	4	0	0	3	1	5	0	1	1	3	7
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] methylpentosum	0	0	2	0	0	0	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] viride	0	0	1	1	0	5	0	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Eubacterium] siraeum	1	3	6	5	1	0	1	1	2	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Paludihabitans;Paludihabitans psychrotolerans	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Papillibacter;Papillibacter cinnamivorans	0	0	0	2	1	7	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Petroclostridium;Petroclostridium xylanilyticum	2	4	9	8	15	3	10	8	2	7	9
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudobacteroides;Pseudobacteroides cellulosolvens	4	9	2	8	7	1	0	1	5	7	11
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor;Pseudoflavonifractor capillosus	2	8	0	6	4	0	1	0	0	1	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pusillibacter;Pusillibacter faecalis	0	0	3	0	0	0	1	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pygmaiobacter;Pygmaiobacter massiliensis	2	13	6	0	4	0	4	1	4	1	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ructibacterium;Ructibacterium gallinarum	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium cellobioparum	26	1	18	17	22	1	0	0	7	2	28
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium herbifermentans	0	0	0	0	0	0	0	7	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium hungatei	2	4	0	0	0	0	0	0	0	10	12
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium papyrosolvens	0	0	4	0	0	0	0	4	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium sufflavum	0	0	0	4	0	0	0	0	0	6	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcoides;Ruminococcoides bili	8	0	3	0	2	3	1	0	1	0	8
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus albus	0	14	0	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus bovis	1	3	4	4	4	2	1	1	1	6	7
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus callidus	1	2	1	0	7	0	0	0	2	3	4
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus champanellensis	0	1	0	0	3	6	2	0	5	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans	2	2	2	2	4	0	0	0	0	1	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Saccharofermentans;Saccharofermentans acetigenes	3	0	0	1	1	2	0	2	1	3	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Scatolibacter;Scatolibacter rhodanostii	12	2	5	11	2	23	17	1	3	4	16
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum;Solibaculum mannosilyticum	2	2	4	2	0	0	7	1	8	1	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Sporobacter;Sporobacter termitidis	0	2	2	6	1	0	2	0	0	6	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Subdoligranulum;Subdoligranulum variabile	0	0	2	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Tepidibaculum;Tepidibaculum saccharolyticum	1	0	1	3	1	0	0	0	0	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Thermoclostridium;Thermoclostridium caenicola	10	2	4	6	9	13	5	5	2	2	12
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Thermoclostridium;Thermoclostridium stercorarium	1	1	0	3	2	0	1	1	0	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas;Vescimonas fastidiosa	0	0	3	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Dehalobacterium;Dehalobacterium formicoaceticum	2	1	1	2	0	0	0	2	1	1	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfofalx;Desulfofalx alkaliphila	1	1	0	0	6	5	0	1	0	1	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfofarcimen;Desulfofarcimen acetoxidans	5	5	5	1	8	0	6	3	4	1	6
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfofundulus;Desulfofundulus kuznetsovii	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfofundulus;Desulfofundulus thermobenzoicus	0	0	0	4	2	18	0	0	2	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfofundulus;Desulfofundulus thermosubterraneus	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfohalotomaculum;Desulfohalotomaculum halophilum	12	4	3	14	5	0	2	0	2	0	12
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfolucanica;Desulfolucanica intricata	21	21	19	37	18	0	14	12	6	7	28
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfonispora;Desulfonispora thiosulfatigenes	0	0	0	0	1	0	1	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus ferrireducens	0	0	0	0	1	1	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus hydrothermalis	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus profundi	0	1	1	0	0	2	1	0	3	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus putei	12	7	1	13	8	12	5	1	4	4	16
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus reducens	0	1	3	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus ruminis	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulfovectis;Desulfovectis peckii	1	1	0	0	0	0	1	0	0	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Paradesulfitobacterium;Paradesulfitobacterium ferrireducens	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus simiae	3	0	2	2	1	0	0	0	0	0	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Phosphitispora;Phosphitispora fastidiosa	1	1	0	2	3	0	15	0	6	0	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Thermanaerosceptrum;Thermanaerosceptrum fracticalcis	45	64	53	82	47	4	10	4	6	8	53
Bacteria;Bacillota;Clostridia;Eubacteriales;Proteinivoraceae;Alkalicella;Alkalicella caledoniensis	38	36	25	71	22	24	37	12	16	17	55
Bacteria;Bacillota;Clostridia;Eubacteriales;Proteinivoraceae;Anaerobranca;Anaerobranca californiensis	1	3	2	4	0	0	0	1	1	2	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Proteinivoraceae;Anaerobranca;Anaerobranca horikoshii	0	0	0	0	5	1	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Symbiobacteriaceae;Caldinitratiruptor;Caldinitratiruptor microaerophilus	2	5	5	2	3	11	4	0	5	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Symbiobacteriaceae;Symbiobacterium;Symbiobacterium terraclitae	10	1	9	7	9	3	14	6	9	7	17
Bacteria;Bacillota;Clostridia;Eubacteriales;Symbiobacteriaceae;Symbiobacterium;Symbiobacterium turbinis	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Pelospora;Pelospora glutarica	13	0	0	3	9	0	5	0	2	2	15
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas bryantii	3	0	4	2	0	3	1	0	0	0	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas cellicola	9	2	8	7	0	0	4	0	0	0	9
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas curvata	0	0	3	0	0	5	0	0	0	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas erecta	2	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas palmitatica	14	0	3	4	0	5	5	3	8	7	21
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas sapovorans	3	2	6	0	0	0	1	0	1	0	3
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas wolfei	9	19	7	22	23	0	6	0	0	10	19
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas zehnderi	4	0	0	2	0	0	0	3	0	1	5
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophothermus;Syntrophothermus lipocalidus	5	11	4	19	18	4	4	0	3	4	9
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Thermosyntropha;Thermosyntropha lipolytica	16	14	3	17	17	13	3	0	0	0	16
Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Thermosyntropha;Thermosyntropha tengcongensis	4	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacillota;Clostridia;Eubacteriales;Thermincolaceae;Thermincola;Thermincola carboxydiphila	0	1	2	1	0	1	3	1	2	1	1
Bacteria;Bacillota;Clostridia;Eubacteriales;Thermincolaceae;Thermincola;Thermincola ferriacetica	0	1	0	0	2	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Eubacteriales;Xylanivirgaceae;Xylanivirga;Xylanivirga thermophila	0	0	0	1	1	0	0	0	1	0	0
Bacteria;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Halanaerobium alcaliphilum	0	0	1	2	0	0	0	0	0	0	0
Bacteria;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Halanaerobium congolense	0	0	0	0	1	0	0	0	2	0	0
