tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter lichenicola	4	4	1	8	0	0	5	1	0	0	4
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella acidiphila	11	5	0	7	3	0	1	0	3	1	12
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella aggregans	1	6	1	5	5	9	2	2	5	5	6
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella arctica	0	0	0	0	0	11	0	0	0	0	0
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella cerasi	2	1	1	2	1	0	0	0	1	1	3
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella paludicola	1	3	4	0	0	3	0	0	0	0	1
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella pectinivorans	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella rosea	1	0	1	4	2	2	0	0	0	0	1
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella sapmiensis	0	3	2	0	3	0	4	0	0	0	0
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella sibirica	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella tundricola	126	146	117	210	106	0	28	10	20	20	146
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter;Occallatibacter riparius	3	14	14	7	15	0	2	0	2	0	3
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter;Occallatibacter savannae	8	0	5	9	8	0	4	2	10	11	19
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Paracidobacterium;Paracidobacterium acidisoli	5	1	6	7	6	0	3	0	3	12	17
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Pseudacidobacterium;Pseudacidobacterium ailaaui	26	4	26	29	30	23	30	14	23	14	40
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Silvibacterium;Silvibacterium bohemicum	0	0	0	0	1	0	0	0	1	1	1
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Silvibacterium;Silvibacterium dinghuense	17	24	9	10	17	1	7	3	14	3	20
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Telmatobacter;Telmatobacter bradus	27	42	38	40	27	5	10	10	3	5	32
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terracidiphilus;Terracidiphilus gabretensis	9	10	8	0	13	0	3	0	0	3	12
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus albidus	5	0	4	0	0	0	3	0	0	0	5
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus aquaticus	0	0	0	3	3	0	0	0	2	0	0
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus roseus	89	76	70	153	72	5	39	11	32	26	115
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus saanensis	29	32	28	52	32	6	16	11	15	14	43
Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus;Terriglobus tenax	8	15	20	54	11	20	24	5	14	13	21
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum aquaticum	52	56	72	64	75	21	31	28	28	22	74
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;Luteitalea pratensis	188	263	200	267	217	76	197	94	129	106	294
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter silvestris	2760	3438	2881	4480	2803	1028	2385	1042	1774	1243	4003
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;Acidiferrimicrobium australe	2	2	3	3	7	0	2	1	1	1	3
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans	3	4	5	5	9	0	1	0	0	1	4
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;Aciditerrimonas ferrireducens	4	1	5	14	11	11	4	3	2	2	6
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix;Acidithrix ferrooxidans	10	10	15	12	16	4	16	6	6	2	12
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;Ferrimicrobium acidiphilum	0	1	0	1	1	0	0	0	1	2	2
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix;Ferrithrix thermotolerans	0	0	2	2	1	0	0	0	3	1	1
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola;Actinomarinicola tropica	12	14	7	12	7	2	16	2	2	1	13
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis	6	16	10	9	6	1	4	4	3	2	8
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis	50	65	102	99	106	29	27	7	15	8	58
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola;Rhabdothermincola salaria	2	1	0	1	3	6	0	0	3	3	5
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola;Rhabdothermincola sediminis	15	12	15	32	21	21	2	2	5	3	18
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas;Desertimonas flava	47	49	46	36	32	17	98	46	48	51	98
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter coccineus	21	23	18	30	18	24	108	31	67	42	63
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter fluminis	363	392	330	418	255	513	1449	688	811	813	1176
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter nonamiensis	230	242	192	216	107	113	530	256	303	301	531
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces bowdenii	1	0	0	0	1	0	0	0	3	1	2
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces faecalis	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces gaoshouyii	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii	0	1	8	2	5	1	8	3	1	3	3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces israelii	0	0	2	0	3	0	0	1	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces marmotae	0	0	0	0	0	0	0	0	0	3	3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces minihominis	2	0	0	0	0	0	0	0	0	2	4
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces qiguomingii	1	3	2	0	0	5	0	1	0	1	2
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces ruminicola	0	0	2	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces vulturis	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinotignum;Actinotignum schaalii	6	2	3	6	2	2	2	1	1	2	8
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium hippocoleae	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium phocae	6	3	11	10	9	1	0	0	4	3	9
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium urinimassiliense	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Buchananella;Buchananella hordeovulneris	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus;Flaviflexus equikiangi	0	0	0	0	0	0	1	0	1	3	3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus;Flaviflexus huanghaiensis	1	1	1	0	1	1	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Fudania;Fudania jinshanensis	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Gleimia;Gleimia hominis	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Neoactinobaculum;Neoactinobaculum massilliense	0	0	0	1	1	0	1	0	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia hongkongensis	0	0	1	0	1	0	0	0	0	0	0
